"","Df","Sum Sq","Mean Sq","F value","Pr(>F)",SSA/SST,
"f1",1,11012141.2515625,11012141.2515625,1.2343160788,0.2670328428,0.0019391497,5678850387.11094
"f2",1,443470.951562501,443470.951562501,0.0497072562,0.8236524943,7.80916772466887E-005,
"f3",1,2765050.7640625,2765050.7640625,0.3099257936,0.5779419521,0.0004869033,
"f4",1,535401.751562501,535401.751562501,0.0600114887,0.806565031,0.00009428,
"f5",1,14445335.6265625,14445335.6265625,1.6191319762,0.203726275,0.0025437077,
"f6",1,1816357.8515625,1816357.8515625,0.203589806,0.6520085503,0.000319846,
"f1:f2",1,15171772.6890625,15171772.6890625,1.7005560086,0.192736159,0.0026716275,
"f1:f3",1,1465262.7015625,1465262.7015625,0.1642366612,0.6854359788,0.000258021,
"f1:f4",1,5114216.43906249,5114216.43906249,0.5732363431,0.4492853303,0.0009005725,
"f1:f5",1,273447.5640625,273447.5640625,0.0306498725,0.8610853279,4.81519225586807E-005,
"f1:f6",1,42943754.8265626,42943754.8265626,4.8134296368,0.0286375172,0.0075620507,
"f2:f3",1,2464005.50156251,2464005.50156251,0.2761825824,0.5994165184,0.0004338916,
"f2:f4",1,3412166.1890625,3412166.1890625,0.3824589146,0.5365346634,0.0006008551,
"f2:f5",1,579304.726562502,579304.726562502,0.0649324343,0.7989542887,0.0001020109,
"f2:f6",1,22108344.3765625,22108344.3765625,2.478054387,0.1159940564,0.0038931021,
"f3:f4",1,1855347.9390625,1855347.9390625,0.2079600816,0.6485428727,0.0003267119,
"f3:f5",1,9232087.0140625,9232087.0140625,1.03479543,0.3094620969,0.0016256965,
"f3:f6",1,503273.139062501,503273.139062501,0.0564102942,0.8123467693,8.86223627593289E-005,
"f4:f5",1,4170414.9515625,4170414.9515625,0.4674486199,0.4944382126,0.0007343766,
"f4:f6",1,10094974.4390625,10094974.4390625,1.131513752,0.2878984161,0.001777644,
"f5:f6",1,517278.164062505,517278.164062505,0.0579800731,0.8098031609,9.10885353198511E-005,
"f1:f2:f3",1,7576614.4140625,7576614.4140625,0.849238743,0.3571535968,0.001334181,
"f1:f2:f4",1,5678941.2015625,5678941.2015625,0.6365345554,0.4252972641,0.001000016,
"f1:f2:f5",1,9522588.26406249,9522588.26406249,1.0673567962,0.3019768195,0.0016768514,
"f1:f2:f6",1,1248827.25156251,1248827.25156251,0.1399770963,0.7084414659,0.0002199085,
"f1:f3:f4",1,26078616.3765625,26078616.3765625,2.9230696165,0.0878601795,0.0045922352,
"f1:f3:f5",1,5553044.10156251,5553044.10156251,0.6224231477,0.4304728532,0.0009778465,
"f1:f3:f6",1,15816520.8140625,15816520.8140625,1.7728237865,0.1835596882,0.0027851624,
"f1:f4:f5",1,8100675.01406251,8100675.01406251,0.9079790379,0.3410508972,0.0014264639,
"f1:f4:f6",1,10000750.0140625,10000750.0140625,1.1209524342,0.2901572502,0.0017610519,
"f1:f5:f6",1,8210851.6890625,8210851.6890625,0.9203283929,0.3377912698,0.0014458651,
"f2:f3:f4",1,18116823.5015625,18116823.5015625,2.0306574383,0.1546955199,0.0031902273,
"f2:f3:f5",1,398950.689062503,398950.689062503,0.0447171208,0.8325998383,0.000070252,
"f2:f3:f6",1,9251313.76406249,9251313.76406249,1.0369504956,0.3089592869,0.0016290821,
"f2:f4:f5",1,23641753.2015625,23641753.2015625,2.6499293316,0.1041013284,0.0041631231,
"f2:f4:f6",1,3558569.88906249,3558569.88906249,0.3988688422,0.5279245678,0.0006266356,
"f2:f5:f6",1,23984329.7265625,23984329.7265625,2.6883276507,0.1016318545,0.0042234481,
"f3:f4:f5",1,8947031.62656251,8947031.62656251,1.0028444733,0.317043708,0.0015755005,
"f3:f4:f6",1,27351784.7640625,27351784.7640625,3.0657750337,0.0804893341,0.0048164299,
"f3:f5:f6",1,5040112.53906252,5040112.53906252,0.5649302714,0.4525875452,0.0008875234,
"f4:f5:f6",1,3165609.56406249,3165609.56406249,0.3548231624,0.5516294462,0.0005574385,
"f1:f2:f3:f4",1,5800916.81406249,5800916.81406249,0.650206416,0.4203716808,0.0010214949,
"f1:f2:f3:f5",1,29531992.8765625,29531992.8765625,3.3101476645,0.0693723132,0.0052003471,
"f1:f2:f3:f6",1,3314736.6890625,3314736.6890625,0.3715383501,0.5424072855,0.0005836985,
"f1:f2:f4:f5",1,3152120.66406251,3152120.66406251,0.3533112343,0.5524780709,0.0005550632,
"f1:f2:f4:f6",1,2955417.3140625,2955417.3140625,0.331263378,0.5651408865,0.0005204253,
"f1:f2:f5:f6",1,37592.2265624983,37592.2265624983,0.0042135938,0.9482664282,6.61968954981098E-006,
"f1:f3:f4:f5",1,6876348.31406249,6876348.31406249,0.7707481309,0.3803517558,0.0012108698,
"f1:f3:f4:f6",1,2835.0140625005,2835.0140625005,0.0003177678,0.9857838028,4.99223235205312E-007,
"f1:f3:f5:f6",1,18380241.6890625,18380241.6890625,2.0601831497,0.1517347755,0.0032366131,
"f1:f4:f5:f6",1,10398645.6890625,10398645.6890625,1.1655513018,0.2807690715,0.0018311181,
"f2:f3:f4:f5",1,5691005.00156247,5691005.00156247,0.6378867486,0.4248062581,0.0010021403,
"f2:f3:f4:f6",1,7140883.76406251,7140883.76406251,0.8003990727,0.3713477615,0.0012574523,
"f2:f3:f5:f6",1,24385555.2015625,24385555.2015625,2.733299745,0.0988209247,0.0042941007,
"f2:f4:f5:f6",1,1657202.3265625,1657202.3265625,0.1857505666,0.6666384106,0.00029182,
"f3:f4:f5:f6",1,10188631.2515625,10188631.2515625,1.1420114478,0.2856753444,0.0017941362,
"f1:f2:f3:f4:f5",1,63900.0390624995,63900.0390624995,0.0071623532,0.9325844075,1.12522843016838E-005,
"f1:f2:f3:f4:f6",1,9251313.7640625,9251313.7640625,1.0369504956,0.3089592869,0.0016290821,
"f1:f2:f3:f5:f6",1,3875.9765624999,3875.9765624999,0.000434446,0.9833778214,6.8252838132468E-007,
"f1:f2:f4:f5:f6",1,19096130.6265625,19096130.6265625,2.1404248761,0.144007591,0.0033626754,
"f1:f3:f4:f5:f6",1,2793.0765624999,2793.0765624999,0.0003130671,0.9858893314,4.91838377858868E-007,
"f2:f3:f4:f5:f6",1,1127868.2640625,1127868.2640625,0.126419186,0.7223041993,0.0001986086,
"f1:f2:f3:f4:f5:f6",1,8750433.16406247,8750433.16406247,0.9808083736,0.3224151519,0.0015408811,
"Residuals",576,5138872830.1,8921654.21892361,NA,NA,0.9049142837,
,SST,5678850387.11094,,,,1,
