"","Df","Sum Sq","Mean Sq","F value","Pr(>F)",SSA/SST (out of 1),pSSA/SST (ppercentage) OR Percentage contributionp,F-Test Passed factors
"f1",1,6.6591034074,6.6591034074,37.5373168762,1.72165175765726E-009,0.0565064305,5.6506430518,TRUE
"f2",1,0.2198626912,0.2198626912,1.2393643714,0.2660852551,0.001865665,0.1865664959,FALSE
"f3",1,0.390468495,0.390468495,2.2010680312,0.138494276,0.0033133561,0.3313356098,FALSE
"f4",1,0.3581009328,0.3581009328,2.0186123213,0.155954001,0.0030386982,0.3038698191,FALSE
"f5",1,0.3122590225,0.3122590225,1.7602018107,0.1851559847,0.0026497025,0.2649702472,FALSE
"f6",1,0.2349028012,0.2349028012,1.3241453608,0.2503549908,0.0019932892,0.1993289187,FALSE
"f1:f2",1,0.019220307,0.019220307,0.1083447288,0.7421632502,0.0001630957,0.0163095672,FALSE
"f1:f3",1,0.0084305977,0.0084305977,0.0475232172,0.8275122578,7.1538607229208E-005,0.0071538607,FALSE
"f1:f4",1,0.0054686827,0.0054686827,0.0308269241,0.8606924093,0.000046405,0.0046405007,FALSE
"f1:f5",1,0.7421603639,0.7421603639,4.1835525068,0.0412985641,0.0062976696,0.6297669592,TRUE
"f1:f6",1,2.3376807598,2.3376807598,13.1774892303,0.0003100833,0.0198366037,1.9836603721,TRUE
"f2:f3",1,0.1043164552,0.1043164552,0.5880310899,0.4435141463,0.0008851868,0.0885186814,FALSE
"f2:f4",1,0.004490538,0.004490538,0.0253131298,0.8736483454,3.81048705751709E-005,0.0038104871,FALSE
"f2:f5",1,0.0466122545,0.0466122545,0.2627529357,0.6084431898,0.0003955325,0.0395532545,FALSE
"f2:f6",1,0.1965425696,0.1965425696,1.1079090179,0.2930042378,0.0016677799,0.1667779936,FALSE
"f3:f4",1,0.0693589934,0.0693589934,0.390976135,0.532048952,0.0005885521,0.0588552077,FALSE
"f3:f5",1,0.0278537307,0.0278537307,0.1570112749,0.6920785767,0.0002363554,0.0236355377,FALSE
"f3:f6",1,0.1400021416,0.1400021416,0.7891910412,0.3747374717,0.001188001,0.1188000967,FALSE
"f4:f5",1,0.0165583793,0.0165583793,0.0933394622,0.7600907561,0.0001405076,0.0140507641,FALSE
"f4:f6",1,0.0064999669,0.0064999669,0.0366402658,0.8482707374,5.51560631415199E-005,0.0055156063,FALSE
"f5:f6",1,0.0200774547,0.0200774547,0.1131764642,0.7366860866,0.0001703691,0.0170369077,FALSE
"f1:f2:f3",1,0.0133724369,0.0133724369,0.0753803281,0.7837625418,0.000113473,0.0113473035,FALSE
"f1:f2:f4",1,0.060193999,0.060193999,0.339313129,0.5604673162,0.0005107817,0.0510781679,FALSE
"f1:f2:f5",1,0.0557307207,0.0557307207,0.3141536623,0.5753732012,0.0004729081,0.0472908124,FALSE
"f1:f2:f6",1,0.0070632817,0.0070632817,0.0398156667,0.8419159866,5.99361223564911E-005,0.0059936122,FALSE
"f1:f3:f4",1,0.3293544579,0.3293544579,1.8565686544,0.1735851586,0.0027947674,0.2794767351,FALSE
"f1:f3:f5",1,0.159542485,0.159542485,0.8993398133,0.3433798728,0.0013538123,0.1353812337,FALSE
"f1:f3:f6",1,0.4292724051,0.4292724051,2.4198053869,0.1203913629,0.0036426302,0.3642630223,FALSE
"f1:f4:f5",1,0.0031232771,0.0031232771,0.0176058898,0.8944898402,2.65028532585394E-005,0.0026502853,FALSE
"f1:f4:f6",1,0.8285316405,0.8285316405,4.6704267567,0.0311219566,0.007030581,0.7030580952,TRUE
"f1:f5:f6",1,0.0048663049,0.0048663049,0.0274313251,0.8685143531,4.12934749452782E-005,0.0041293475,FALSE
"f2:f3:f4",1,0.0808695296,0.0808695296,0.455860943,0.4998516139,0.0006862258,0.0686225784,FALSE
"f2:f3:f5",1,0.0313424068,0.0313424068,0.1766769163,0.6744107151,0.0002659589,0.0265958857,FALSE
"f2:f3:f6",1,0.0872258394,0.0872258394,0.4916914145,0.4834736089,0.0007401628,0.0740162832,FALSE
"f2:f4:f5",1,0.1969061727,0.1969061727,1.1099586459,0.2925586495,0.0016708653,0.1670865323,FALSE
"f2:f4:f6",1,0.080324813,0.080324813,0.4527903794,0.5012985526,0.0006816035,0.0681603541,FALSE
"f2:f5:f6",1,0.4106095205,0.4106095205,2.3146028438,0.1287450526,0.0034842646,0.3484264611,FALSE
"f3:f4:f5",1,0.6289651832,0.6289651832,3.5454721066,0.0602414946,0.0053371415,0.5337141541,FALSE
"f3:f4:f6",1,0.4787100912,0.4787100912,2.6984852594,0.1010214901,0.0040621382,0.4062138227,FALSE
"f3:f5:f6",1,0.0011733897,0.0011733897,0.0066143888,0.9352103093,9.95690553175111E-006,0.0009956906,FALSE
"f4:f5:f6",1,0.4458077639,0.4458077639,2.5130150823,0.1134908193,0.0037829425,0.3782942522,FALSE
"f1:f2:f3:f4",1,0.3935569877,0.3935569877,2.218477842,0.1369469574,0.0033395638,0.3339563785,FALSE
"f1:f2:f3:f5",1,0.6286477586,0.6286477586,3.5436827867,0.0603060611,0.005334448,0.5334448006,FALSE
"f1:f2:f3:f6",1,0.0109723058,0.0109723058,0.061850807,0.8036880824,9.31065035904822E-005,0.0093106504,FALSE
"f1:f2:f4:f5",1,0.0457709289,0.0457709289,0.258010389,0.6116962398,0.0003883934,0.03883934,FALSE
"f1:f2:f4:f6",1,0.1187328607,0.1187328607,0.6692962615,0.4136552627,0.0010075185,0.100751854,FALSE
"f1:f2:f5:f6",1,0.2003413967,0.2003413967,1.1293229781,0.2883913097,0.0017000152,0.170001523,FALSE
"f1:f3:f4:f5",1,0.0058893375,0.0058893375,0.0331981523,0.855490822,4.9974511564316E-005,0.0049974512,FALSE
"f1:f3:f4:f6",1,0.0863724379,0.0863724379,0.4868807968,0.4856201398,0.0007329212,0.0732921215,FALSE
"f1:f3:f5:f6",1,0.3922648625,0.3922648625,2.2111941417,0.1375919296,0.0033285993,0.3328599339,FALSE
"f1:f4:f5:f6",1,0.2613592898,0.2613592898,1.4732803923,0.2253555344,0.0022177881,0.2217788138,FALSE
"f2:f3:f4:f5",1,0.0858265617,0.0858265617,0.4838036965,0.4870014507,0.0007282891,0.0728289133,FALSE
"f2:f3:f4:f6",1,0.1768265521,0.1768265521,0.9967699724,0.31853722,0.0015004779,0.1500477867,FALSE
"f2:f3:f5:f6",1,1.1135295966,1.1135295966,6.2769581371,0.0125228888,0.0094489572,0.9448957154,TRUE
"f2:f4:f5:f6",1,0.0234678349,0.0234678349,0.1322880126,0.7162127516,0.0001991385,0.0199138458,FALSE
"f3:f4:f5:f6",1,0.0408401249,0.0408401249,0.2302154835,0.6315569458,0.0003465526,0.0346552612,FALSE
"f1:f2:f3:f4:f5",1,0.0829074562,0.0829074562,0.4673487201,0.49450049,0.0007035188,0.0703518796,FALSE
"f1:f2:f3:f4:f6",1,0.0527375925,0.0527375925,0.2972814206,0.5858152352,0.0004475097,0.0447509661,FALSE
"f1:f2:f3:f5:f6",1,0.487200967,0.487200967,2.7463482636,0.0980533781,0.0041341883,0.4134188329,FALSE
"f1:f2:f4:f5:f6",1,0.1542574326,0.1542574326,0.8695480115,0.3514941392,0.0013089655,0.1308965541,FALSE
"f1:f3:f4:f5:f6",1,0.7049705904,0.7049705904,3.9739140274,0.0467091589,0.0059820924,0.598209237,TRUE
"f2:f3:f4:f5:f6",1,0.0007269165,0.0007269165,0.0040976232,0.9489836446,6.16831639136696E-006,0.0006168316,FALSE
"f1:f2:f3:f4:f5:f6",1,0.0213092331,0.0213092331,0.1201199901,0.729038404,0.0001808214,0.0180821445,FALSE
"Residuals",544,96.5053593357,0.1773995576,NA,NA,0.818905046,81.8905045965,TRUE
,,117.8468246242,,,,1,100,
,,,,,,,,
,,,,,,,,
,Total Degree of Freedom,607,,,,,,
,MST,0.1941463338,,,,,,
,SST,117.8468246242,,,,,,
SE,MSE,0.1773995576,,,,,,
,,,,,,,,
,F-value,1.0944014542,,,,,,
,Critical F-Value,1.14768903,,,,,,
,,,,,,,,
,F-Test,FAIL,,,,,,
,Goodness,18.1094954035,,,,,,
,,,,,,,,
,,,,,,,,
,Something,0.0070123332,,,,,,
